team,season,games_played,wins,losses,win_pct,points_per_game,points_allowed_per_game,point_differential,off_epa_per_play,off_success_rate,off_third_down_pct,off_turnovers,off_penalties,def_epa_per_play_allowed,def_success_rate_allowed,def_third_down_pct_allowed,def_takeaways,turnover_margin
BAL,2019,16,14,2,0.875,33.19,17.63,15.56,0.2129,0.4837,0.4783,14.0,16.0,-0.1209,0.4074,0.3711,24.0,10.0
GB,2019,16,13,3,0.8125,23.5,19.56,3.94,0.0482,0.4354,0.3724,12.0,15.0,-0.0263,0.439,0.3807,25.0,13.0
NO,2019,16,13,3,0.8125,28.63,21.31,7.32,0.0986,0.4742,0.4309,7.0,9.0,-0.0637,0.4024,0.351,22.0,15.0
SF,2019,16,13,3,0.8125,29.94,19.38,10.56,0.065,0.4428,0.4545,22.0,20.0,-0.1559,0.4103,0.3333,25.0,3.0
KC,2019,16,12,4,0.75,28.19,19.25,8.94,0.1262,0.4599,0.4785,13.0,18.0,-0.0091,0.4424,0.375,22.0,9.0
NE,2019,16,12,4,0.75,26.25,14.06,12.19,-0.0104,0.4196,0.3867,14.0,15.0,-0.2307,0.3708,0.2423,33.0,19.0
SEA,2019,16,11,5,0.6875,25.31,24.88,0.43,0.0213,0.4549,0.397,20.0,13.0,0.0182,0.4634,0.3859,29.0,9.0
BUF,2019,16,10,6,0.625,19.63,16.19,3.44,-0.0259,0.4183,0.3602,19.0,26.0,-0.0901,0.4097,0.3619,22.0,3.0
HOU,2019,16,10,6,0.625,23.63,24.06,-0.43,0.06,0.4527,0.4375,21.0,12.0,0.0702,0.4415,0.4876,22.0,1.0
MIN,2019,16,10,6,0.625,25.44,18.94,6.5,0.0557,0.4192,0.4323,18.0,28.0,-0.0806,0.4401,0.3991,30.0,12.0
LA,2019,16,9,7,0.5625,24.63,22.75,1.88,0.0057,0.4455,0.401,24.0,11.0,-0.0422,0.4167,0.3963,23.0,-1.0
PHI,2019,16,9,7,0.5625,24.06,22.13,1.93,-0.01,0.4426,0.4561,20.0,15.0,-0.0376,0.4037,0.3415,19.0,-1.0
TEN,2019,16,9,7,0.5625,25.13,20.69,4.44,0.0628,0.4569,0.3911,16.0,29.0,-0.0284,0.4283,0.3645,22.0,6.0
CHI,2019,16,8,8,0.5,17.5,18.63,-1.13,-0.0902,0.4042,0.3598,18.0,16.0,-0.0463,0.4087,0.3654,19.0,1.0
DAL,2019,16,8,8,0.5,27.13,20.06,7.07,0.1212,0.4901,0.4729,18.0,24.0,-0.0391,0.4428,0.3384,17.0,-1.0
PIT,2019,16,8,8,0.5,18.06,18.94,-0.88,-0.1751,0.3705,0.3454,30.0,18.0,-0.1377,0.3939,0.3654,37.0,7.0
ATL,2019,16,7,9,0.4375,23.81,24.94,-1.13,0.0038,0.4404,0.4223,23.0,23.0,0.0496,0.4552,0.4031,15.0,-8.0
DEN,2019,16,7,9,0.4375,17.63,19.75,-2.12,-0.0681,0.3972,0.3184,16.0,23.0,-0.0108,0.4177,0.3744,15.0,-1.0
IND,2019,16,7,9,0.4375,22.56,23.31,-0.75,-0.0024,0.4406,0.4175,19.0,19.0,0.0033,0.4329,0.4381,22.0,3.0
NYJ,2019,16,7,9,0.4375,17.25,22.44,-5.19,-0.155,0.3693,0.3081,22.0,14.0,-0.0427,0.3953,0.3964,19.0,-3.0
TB,2019,16,7,9,0.4375,28.63,28.06,0.57,-0.0053,0.4347,0.4245,40.0,21.0,-0.0861,0.3914,0.344,27.0,-13.0
CLE,2019,16,6,10,0.375,20.94,24.56,-3.62,-0.046,0.4064,0.3622,27.0,11.0,0.0291,0.4421,0.3834,20.0,-7.0
JAX,2019,16,6,10,0.375,18.75,24.81,-6.06,-0.05,0.3957,0.3502,18.0,19.0,0.0811,0.4567,0.4225,17.0,-1.0
ARI,2019,16,5,10,0.3125,22.56,27.63,-5.07,0.0063,0.4281,0.3622,18.0,13.0,0.0958,0.462,0.4695,16.0,-2.0
CAR,2019,16,5,11,0.3125,21.25,29.38,-8.13,-0.0919,0.4287,0.3188,32.0,12.0,0.0598,0.4555,0.4118,20.0,-12.0
LAC,2019,16,5,11,0.3125,21.06,21.56,-0.5,0.026,0.4661,0.4479,29.0,18.0,0.0326,0.4392,0.456,14.0,-15.0
MIA,2019,16,5,11,0.3125,19.13,30.88,-11.75,-0.1032,0.4024,0.3447,25.0,10.0,0.1289,0.4549,0.4197,16.0,-9.0
NYG,2019,16,4,12,0.25,21.31,28.19,-6.88,-0.0717,0.4144,0.3744,33.0,16.0,0.0623,0.4271,0.4019,16.0,-17.0
DET,2019,16,3,12,0.1875,21.31,26.44,-5.13,-0.0416,0.4095,0.411,22.0,21.0,0.0633,0.4442,0.4498,16.0,-6.0
WAS,2019,16,3,13,0.1875,16.63,27.19,-10.56,-0.1421,0.3851,0.2905,21.0,6.0,0.0966,0.4461,0.4912,21.0,0.0
