team_abbr,team_name,team_nick,team_conf,team_division,team_color,team_color2,team_logo_espn
ARI,Arizona Cardinals,Cardinals,NFC,NFC West,#97233F,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png
ATL,Atlanta Falcons,Falcons,NFC,NFC South,#A71930,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png
BAL,Baltimore Ravens,Ravens,AFC,AFC North,#241773,#9E7C0C,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png
BUF,Buffalo Bills,Bills,AFC,AFC East,#00338D,#C60C30,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png
CAR,Carolina Panthers,Panthers,NFC,NFC South,#0085CA,#000000,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png
CHI,Chicago Bears,Bears,NFC,NFC North,#0B162A,#E64100,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png
CIN,Cincinnati Bengals,Bengals,AFC,AFC North,#FB4F14,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png
CLE,Cleveland Browns,Browns,AFC,AFC North,#FF3C00,#311D00,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png
DAL,Dallas Cowboys,Cowboys,NFC,NFC East,#002244,#B0B7BC,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png
DEN,Denver Broncos,Broncos,AFC,AFC West,#002244,#FB4F14,https://a.espncdn.com/i/teamlogos/nfl/500/den.png
DET,Detroit Lions,Lions,NFC,NFC North,#0076B6,#B0B7BC,https://a.espncdn.com/i/teamlogos/nfl/500/det.png
GB,Green Bay Packers,Packers,NFC,NFC North,#203731,#FFB612,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png
HOU,Houston Texans,Texans,AFC,AFC South,#03202F,#A71930,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png
IND,Indianapolis Colts,Colts,AFC,AFC South,#002C5F,#a5acaf,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png
JAX,Jacksonville Jaguars,Jaguars,AFC,AFC South,#006778,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png
KC,Kansas City Chiefs,Chiefs,AFC,AFC West,#E31837,#FFB612,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png
LA,Los Angeles Rams,Rams,NFC,NFC West,#003594,#FFD100,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
LAC,Los Angeles Chargers,Chargers,AFC,AFC West,#007BC7,#ffc20e,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png
LAR,Los Angeles Rams,Rams,NFC,NFC West,#003594,#FFD100,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
LV,Las Vegas Raiders,Raiders,AFC,AFC West,#000000,#A5ACAF,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png
MIA,Miami Dolphins,Dolphins,AFC,AFC East,#008E97,#F58220,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png
MIN,Minnesota Vikings,Vikings,NFC,NFC North,#4F2683,#FFC62F,https://a.espncdn.com/i/teamlogos/nfl/500/min.png
NE,New England Patriots,Patriots,AFC,AFC East,#002244,#C60C30,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png
NO,New Orleans Saints,Saints,NFC,NFC South,#D3BC8D,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/no.png
NYG,New York Giants,Giants,NFC,NFC East,#0B2265,#A71930,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png
NYJ,New York Jets,Jets,AFC,AFC East,#003F2D,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png
OAK,Oakland Raiders,Raiders,AFC,AFC West,#000000,#A5ACAF,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png
PHI,Philadelphia Eagles,Eagles,NFC,NFC East,#004C54,#A5ACAF,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png
PIT,Pittsburgh Steelers,Steelers,AFC,AFC North,#000000,#FFB612,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png
SD,San Diego Chargers,Chargers,AFC,AFC West,#007BC7,#ffc20e,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png
SEA,Seattle Seahawks,Seahawks,NFC,NFC West,#002244,#69be28,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png
SF,San Francisco 49ers,49ers,NFC,NFC West,#AA0000,#B3995D,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png
STL,St. Louis Rams,Rams,NFC,NFC West,#003594,#FFD100,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC South,#A71930,#322F2B,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png
TEN,Tennessee Titans,Titans,AFC,AFC South,#4495D2,#D50A0A,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png
WAS,Washington Commanders,Commanders,NFC,NFC East,#5A1414,#FFB612,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png
